store,id,public_id,is_active,publication_status,raw_title,job_title,url,application_url,department,location,workplace_address,salary_range,description,duration,hours,availability,academic_course,academic_workload,academic_office_hours,academic_supervisor,academic_appointment_type,academic_schedule,academic_term,benefits,required_skills,experience_requirements,education_requirements,license_requirements,language_requirements,certification_requirements,software_requirements,medical_requirements,responsibility_tags,qualification_tags,quality_flags
"current","APEUO---Automne-2026---Atteintes--la-sant-des-enfants-et-approches-d-intervention---Volet-Dficience-Motrice-Crbrale-_JR38052","5329","1","fully_parsed","Atteintes à la santé des enfants et approches d'intervention (Volet Déficience Motrice Cérébrale)","Atteintes à la santé des enfants et approches d'intervention (Volet Déficience Motrice Cérébrale)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---Atteintes--la-sant-des-enfants-et-approches-d-intervention---Volet-Dficience-Motrice-Crbrale-_JR38052","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---Atteintes--la-sant-des-enfants-et-approches-d-intervention---Volet-Dficience-Motrice-Crbrale-_JR38052","School of Rehabilitation Sciences","Ottawa, ON","","$239.47 hour","## Overview\nTeach ERG5741, Atteintes à la santé des enfants et approches d’intervention, for the Faculty of Health Sciences, School of Rehabilitation Sciences.\n\n## Responsibilities\n- Deliver the lecture\n- Prepare course materials and evaluate student work\n\n## Qualifications\n- Pediatric occupational therapy\n- Teaching experience is an asset","","3 hours","","","","","","Sessional","","Fall 2026","[]","[""Pediatric occupational therapy"",""Pediatric clinical experience"",""Cerebral palsy motor impairment"",""Dystonia"",""Lecture delivery"",""Course materials"",""Student evaluation""]","[""Practical occupational therapy experience with children and adolescents with cerebral palsy motor impairment and dystonia""]","","","","","","","[""Education & mentoring"",""Client care"",""Planning & evaluation""]","","[]"
"current","APEUO---Automne-2026---ERG5525-Exploration-de-la-participation-occupationnelle--volet-dterminants-sociaux-_JR38048","5367","1","fully_parsed","Exploration de la participation occupationnelle (volet déterminants sociaux)","Exploration de la participation occupationnelle (volet déterminants sociaux)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ERG5525-Exploration-de-la-participation-occupationnelle--volet-dterminants-sociaux-_JR38048","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ERG5525-Exploration-de-la-participation-occupationnelle--volet-dterminants-sociaux-_JR38048","School of Rehabilitation Sciences","Ottawa, ON","","$239.47 hour","## Overview\nTeach a single session on occupational participation for a graduate course in occupational therapy.\n\n## Responsibilities\n- Deliver a 3-hour lecture on social determinants of health and occupation.\n\n## Qualifications\n- Clinical experience\n- Expertise in occupation and occupational participation, including activity analysis and dynamic performance analysis.\n- Teaching experience is an asset.","","","","ERG5525 — Exploration de la participation occupationnelle volet dterminants sociaux","","","","","","Spring/Summer 2026","[]","[]","[""3+ years""]","","","","","","","[]","[""Education & mentoring""]","[]"
"current","APEUO---Automne-2026---ERG5525-Exploration-de-la-participation-occupationnelle--volet-quilibre-occupationnel-_JR38049","5368","1","fully_parsed","Exploration de la participation occupationnelle (volet équilibre occupationnel)","Exploration de la participation occupationnelle (volet équilibre occupationnel)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ERG5525-Exploration-de-la-participation-occupationnelle--volet-quilibre-occupationnel-_JR38049","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ERG5525-Exploration-de-la-participation-occupationnelle--volet-quilibre-occupationnel-_JR38049","École des sciences de la réadaptation / School of Rehabilitation Sciences","Ottawa, ON","","$239.47 hour","## Overview\nPart-time professor to teach ERG5525 Exploration de la participation occupationnelle (volet équilibre occupationnel) in the 2026 Spring-Summer semester.\n\n## Responsibilities\n- Deliver a 3-hour lecture on October 6, 2026, covering forms of occupation and occupational balance\n\n## Qualifications\n- Clinical experience\n- Expertise in occupation and occupational participation, including activity analysis and dynamic performance analysis","","","","ERG5525 — Exploration de la participation occupationnelle volet quilibre occupationnel","","","","","","Spring/Summer 2026","[]","[""Ergothérapeute"",""analyse d'activité"",""analyse dynamique de la performance""]","[""3+ years""]","","","[""English""]","","","","[]","","[]"
"current","APEUO---Automne-2026---ERG5741-Atteintes--la-sant-des-enfants-et-approches-d-intervention--volet-Lab-DBT-_JR38051","5326","1","fully_parsed","Atteintes à la santé des enfants et approches d'intervention (volet Lab DBT)","Atteintes à la santé des enfants et approches d'intervention (volet Lab DBT)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ERG5741-Atteintes--la-sant-des-enfants-et-approches-d-intervention--volet-Lab-DBT-_JR38051","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ERG5741-Atteintes--la-sant-des-enfants-et-approches-d-intervention--volet-Lab-DBT-_JR38051","École des sciences de la réadaptation / School of Rehabilitation Sciences","Ottawa, ON","","$111.12 hour","## Responsibilities\n- Deliver a 3-hour DBT lab session for adolescents with anxiety disorders\n- Prepare 5 questions for the final exam\n\n## Qualifications\n- Children\n- Practical experience with DBT for adolescents with anxiety disorders\n\n## Nice to Have\n- Teaching experience is an asset","","","","ERG5741 — Atteintes la sant des enfants et approches d intervention volet Lab DBT","","","","","","Fall 2026","[]","[""DBT""]","[""5+ years""]","","","","","","","[]","","[]"
"current","APEUO---Automne-2026---ORA6746-Dveloppement-et-fonctionnement-typiques-de-la-communication-et-de-la-dglutition_JR38015","4798","1","fully_parsed","Développement et fonctionnement typiques de la communication et de la déglutition","Développement et fonctionnement typiques de la communication et de la déglutition","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ORA6746-Dveloppement-et-fonctionnement-typiques-de-la-communication-et-de-la-dglutition_JR38015","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---ORA6746-Dveloppement-et-fonctionnement-typiques-de-la-communication-et-de-la-dglutition_JR38015","École des sciences de la réadaptation / School of Rehabilitation Sciences","Ottawa, ON","","$239.47 hour","## Overview\nÉtude approfondie des modèles de développement et de fonctionnement typiques de la communication et de la déglutition.\n\n## Responsibilities\n- Enseigner le cours ORA6746 (36 heures, théorie)\n- Animer les cours le mercredi de 14h30 à 17h20 du 9 sept au 10 déc 2026\n- Préparer et administrer l'examen final le 10 déc 2026\n\n## Qualifications\n- Connaissance approfondie du développement typique de la communication et de la déglutition\n- Expérience en enseignement universitaire\n\n## Compensation & Benefits\n- Taux horaire d'enseignement : 239.47 $ (2024-2025)\n- Les taux n'incluent pas les congés payés ni les congés statutaires\n- Des ajustements rétroactifs seront versés après la ratification d'une nouvelle convention collective","","","","ORA6746 — Dveloppement et fonctionnement typiques de la communication et de la dglutition","","","","","","Fall 2026","[""Pension""]","[]","","[""Orthophoniste ou formation connexe de niveau maîtrise ou doctorat""]","[]","[""French""]","","","","[]","","[""description_over_500_chars""]"
"current","APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-amputations-_JR38025","5373","1","fully_parsed","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet amputations)","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet amputations)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-amputations-_JR38025","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-amputations-_JR38025","Faculty of Health Sciences","Ottawa, ON","","$239.47 hour","## Overview\nÉvaluation et intervention auprès de personnes ayant des affections multiples I (volet amputations) – PHT6511. Ce cours couvre l'évaluation et les interventions d'individus présentant des blessures, conditions ou maladies impliquant plus d'un système, incluant brûlures, plaies, amputations, cancer, incontinences urinaires, grossesse, etc.\n\n## Responsibilities\n- Enseigner 6 heures de théorie (taux théorie) les 24 septembre et 1 octobre 2026, de 14h30 à 17h30.\n\n## Qualifications\n- Diplôme universitaire en physiothérapie\n- Expérience en enseignement universitaire\n- Connaissances approfondies des approches cliniques en amputations\n\n## Compensation & Benefits\nTaux horaire d'enseignement : 239,47 $ (2024-2025). Les taux n'incluent pas les vacances ni les jours fériés.","","","","PHT6511 — valuation et intervention auprs de personnes ayant des affections multiples I volet amputations","","","","","","Fall 2026","[]","[""French (passive competence)""]","","","","","","","","[]","","[""description_over_500_chars""]"
"current","APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-brulres-_JR38065-1","5287","1","fully_parsed","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet brulûres)","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet brulûres)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-brulres-_JR38065-1","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-brulres-_JR38065-1","École des sciences de la réadaptation / School of Rehabilitation Sciences","Ottawa, ON","","$239.47 hour","## Overview\nTeach the course PHT6511 on evaluation and intervention for individuals with multiple conditions, focusing on burns.\n\n## Responsibilities\n- Deliver lectures on evaluation and intervention for conditions involving more than one system (burns, wounds, amputations, cancer, urinary incontinence, pregnancy, etc.)\n- Teach a 3-hour session on November 19, 2026, from 14:30 to 17:30","","","","PHT6511 — valuation et intervention auprs de personnes ayant des affections multiples I volet brulres 1","","","","","","Fall 2026","[]","[]","","[""University degree in physiotherapy""]","[]","","","","","[""Education & mentoring""]","","[]"
"current","APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-oncologie-_JR38024","5372","1","fully_parsed","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet oncologie)","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet oncologie)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-oncologie-_JR38024","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-oncologie-_JR38024","École des sciences de la réadaptation / School of Rehabilitation Sciences","Ottawa, ON","","$239.47 hour","## Qualifications\n- Diplôme universitaire en physiothérapie\n- Expérience en enseignement universitaire\n- Connaissances approfondies des approches cliniques en oncologie\n\n## Responsibilities\n- Deliver lectures on burn injuries, wounds, amputations, cancer, urinary incontinence, pregnancy and other multi-system conditions\n\n## Overview\nTeach evaluation and intervention for individuals with multiple system injuries or conditions in the oncology stream.","","","","PHT6511 — valuation et intervention auprs de personnes ayant des affections multiples I volet oncologie","","","","","","Fall 2026","[]","[]","","","","[""French""]","","","","[]","","[]"
"current","APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-plaies-_JR38066-1","5288","1","fully_parsed","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet plaies)","Évaluation et intervention auprès de personnes ayant des affections multiples I (volet plaies)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-plaies-_JR38066-1","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---PHT6511--valuation-et-intervention-auprs-de-personnes-ayant-des-affections-multiples-I--volet-plaies-_JR38066-1","Faculty of Health Sciences","Ottawa, ON","","$239.47 hour","## Overview\nTeach PHT 6511, a course on assessment and intervention for individuals with multiple conditions including burns, wounds, amputations, cancer, urinary incontinence, pregnancy, etc.\n\n## Responsibilities\n- Deliver a 3-hour lecture on November 26th from 17h-20h\n- Prepare course materials and evaluations\n- Grade student work\n- Manage course administration","","","","PHT6511 — valuation et intervention auprs de personnes ayant des affections multiples I volet plaies 1","","","","","","Fall 2026","[]","[]","","[""University degree in health sciences""]","[]","","","","","[""Client care""]","[""Education & mentoring""]","[]"
"current","APEUO---Automne-2026---REA5703---Pratiques-professionnelles-en-radaptation---volet-Ergothrapie-_JR38050","5348","1","fully_parsed","Pratiques professionnelles en réadaptation (volet Ergothérapie)","Pratiques professionnelles en réadaptation (volet Ergothérapie)","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---REA5703---Pratiques-professionnelles-en-radaptation---volet-Ergothrapie-_JR38050","https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Lees-Campus/APEUO---Automne-2026---REA5703---Pratiques-professionnelles-en-radaptation---volet-Ergothrapie-_JR38050","École des sciences de la réadaptation / School of Rehabilitation Sciences","Ottawa, ON","","$67.87-$87.76 hour","## Overview\nThis role involves preparing students for entry into health professions: laws and regulations, therapeutic communication, collaborative and interprofessional practice.\n\n## Responsibilities\n- Deliver clinical teaching sessions on October 15 and November 5, 2026 (14:30-17:20) with 1 hour of preparation\n\n## Qualifications\n- Clinical helping relationships\n- Teaching experience considered an asset","","","","REA5703 — Pratiques professionnelles en radaptation volet Ergothrapie","","","","","","Fall 2026","[]","[""Occupational therapist""]","[""3+ years""]","","","[""French""]","","","","[""Education & mentoring""]","[""Education & mentoring"",""Collaboration""]","[]"
